+----------+-------+---------+--------------+
| 放置材料列表 'HEISEFINAL (Converted Structure)' |
+----------+-------+---------+--------------+
| Item     | Total | Missing |    Available |
+----------+-------+---------+--------------+
| 白桦木台阶    | 24251 |   24251 |            0 |
| 白色染色玻璃   | 14496 |   14496 |           32 |
| 玻璃       |  9772 |    9772 |            2 |
| 白色混凝土    |  9201 |    9201 |          150 |
| 泥土       |  8161 |    3262 |            0 |
| 深板岩瓦     |  4651 |    4651 |            0 |
| 樱花树叶     |  3079 |    3079 |            0 |
| 平滑石头     |  1932 |    1932 |            0 |
| 樱花木板     |  1831 |    1831 |            0 |
| 草方块      |  1817 |    1592 |            0 |
| 深板岩瓦台阶   |   732 |     732 |            0 |
| 樱花原木     |   592 |     592 |           55 |
| 赭黄蛙明灯    |   464 |     464 |           61 |
| 去皮白桦原木   |   440 |     440 |            0 |
| 白桦木楼梯    |   430 |     430 |            0 |
| 竹子       |   323 |     323 |            0 |
| 水桶       |   303 |     303 |            0 |
| 深板岩瓦楼梯   |   272 |     272 |            0 |
| 磨制深板岩    |   224 |     224 |            0 |
| 灵魂营火     |   178 |     178 |            0 |
| 石台阶      |   177 |     177 |           33 |
| 竹栅栏      |   173 |     173 |            0 |
| 磨制黑石砖    |   152 |     152 |            0 |
| 粉红色染色玻璃板 |   146 |     146 |            0 |
| 石楼梯      |   111 |     111 |            0 |
| 红色地毯     |    85 |      85 |            0 |
| 石砖墙      |    80 |      80 |            0 |
| 木桶       |    57 |      57 |            0 |
| 樱花木告示牌   |    52 |      52 |            0 |
| 深板岩瓦墙    |    51 |      51 |            0 |
| 紫水晶块     |    51 |      51 |            0 |
| 粉红色染色玻璃  |    50 |      50 |            0 |
| 白色地毯     |    46 |      46 |            0 |
| 粉红色地毯    |    43 |      43 |            0 |
| 樱花木活板门   |    39 |      39 |            0 |
| 灯笼       |    33 |      33 |            0 |
| 炼药锅      |    31 |      31 |            0 |
| 白桦木门     |    30 |      30 |            0 |
| 书架       |    29 |      29 |            0 |
| 工作台      |    28 |      28 |            0 |
| 海晶灯      |    26 |      26 |            0 |
| 末地烛      |    25 |      25 |            0 |
| 白桦木活板门   |    23 |      23 |            0 |
| 锁链       |    22 |      22 |            0 |
| 雕纹书架     |    20 |      20 |            0 |
| 甘蔗       |    18 |      18 |            0 |
| 花盆       |    16 |      16 |            0 |
| 珠光蛙明灯    |    14 |      14 |            0 |
| 平滑石台阶    |    13 |      13 |            0 |
| 金合欢木台阶   |    10 |      10 |            0 |
| 樱花木门     |     9 |       9 |            0 |
| 铁块       |     9 |       9 |           64 |
| 白桦木告示牌   |     8 |       8 |            0 |
| 铃兰       |     8 |       8 |            0 |
| 阳光探测器    |     8 |       8 |            0 |
| 玫瑰丛      |     7 |       7 |            0 |
| 竹活板门     |     7 |       7 |            8 |
| 粉红色花簇    |     7 |       7 |            0 |
| 花岗岩楼梯    |     7 |       7 |            0 |
| 大型蕨      |     6 |       6 |            0 |
| 樱花木栅栏    |     6 |       6 |            0 |
| 橡木楼梯     |     6 |       6 |            0 |
| 盛开的杜鹃树叶  |     6 |       6 |            0 |
| 竹楼梯      |     6 |       6 |            0 |
| 竹台阶      |     5 |       5 |            0 |
| 红石灯      |     5 |       5 |            0 |
| 铁砧       |     5 |       5 |            0 |
| 平滑石英楼梯   |     4 |       4 |            0 |
| 拉杆       |     4 |       4 |            0 |
| 牡丹       |     4 |       4 |            0 |
| 磨制深板岩台阶  |     4 |       4 |            0 |
| 荧石       |     4 |       4 |            0 |
| 菌光体      |     4 |       4 |            0 |
| 青翠蛙明灯    |     4 |       4 |            0 |
| 黄色蜡烛     |     4 |       4 |            0 |
| 去皮丛林原木   |     3 |       3 |            0 |
| 平滑石英     |     3 |       3 |            0 |
| 橡木台阶     |     3 |       3 |            0 |
| 盛开的杜鹃花丛  |     3 |       3 |            0 |
| 竹马赛克台阶   |     3 |       3 |            0 |
| 黑木头门     |     3 |       3 |            0 |
| 去皮丛林木    |     2 |       2 |            0 |
| 发光浆果     |     2 |       2 |            0 |
| 樱花树苗     |     2 |       2 |            7 |
| 灵魂灯笼     |     2 |       2 |            0 |
| 烟熏炉      |     2 |       2 |            0 |
| 熔炉       |     2 |       2 |            0 |
| 白色床      |     2 |       2 |            0 |
| 磨制安山岩楼梯  |     2 |       2 |            0 |
| 磨制深板岩楼梯  |     2 |       2 |            0 |
| 红树胎生苗    |     2 |       2 |            0 |
| 织布机      |     2 |       2 |            0 |
| 酿造台      |     2 |       2 |            0 |
| 金合欢木楼梯   |     2 |       2 |            0 |
| 黑木头台阶    |     2 |       2 |            0 |
| 黑木头楼梯    |     2 |       2 |            0 |
| 仙人掌      |     1 |       1 |            0 |
| 信标       |     1 |       1 |            3 |
| 切石机      |     1 |       1 |            0 |
| 制图台      |     1 |       1 |            0 |
| 制箭台      |     1 |       1 |            0 |
| 发射器      |     1 |       1 |            0 |
| 唱片机      |     1 |       1 |            0 |
| 堆肥桶      |     1 |       1 |            0 |
| 末影箱      |     1 |       1 |            1 |
| 樱花木      |     1 |       1 |            0 |
| 橙色床      |     1 |       1 |            0 |
| 氧化的铜块    |     1 |       1 |            0 |
| 淡蓝色床     |     1 |       1 |            0 |
| 漏斗       |     1 |       1 |            0 |
| 灵魂沙      |     1 |       1 |            0 |
| 白桦树苗     |     1 |       1 |            0 |
| 石头按钮     |     1 |       1 |            0 |
| 砂轮       |     1 |       1 |            0 |
| 粉红色床     |     1 |       1 |            0 |
| 粉红色郁金香   |     1 |       1 |            0 |
| 紫水晶簇     |     1 |       1 |            0 |
| 绊线钩      |     1 |       1 |            0 |
| 蓝色床      |     1 |       1 |            0 |
| 蜂蜜块      |     1 |       1 |            0 |
| 讲台       |     1 |       1 |            0 |
| 避雷针      |     1 |       1 |            0 |
| 锻造台      |     1 |       1 |            0 |
| 附魔台      |     1 |       1 |            0 |
| 高炉       |     1 |       1 |            0 |
| 黑木头活板门   |     1 |       1 |            0 |
+----------+-------+---------+--------------+
| Item     | Total | Missing |    Available |
+----------+-------+---------+--------------+
